Name,Time,Career
HU,2007—2012,"Chairman, 17th CPC, Central Committee, Central LSG for Taiwan Affairs"
HU,2007—2012,"Chairman, 17th CPC, Central Committee, Central Military Commission"
HU,2007—2012,"Member, 17th CPC, Central Committee"
HU,2007—2012,"Member, 17th CPC, Central Committee, Politburo, Standing Committee"
HU,2007—2012,"Chairman, 17th CPC, Central Committee, Central Foreign Affairs Commission"
HU,2007—2012,"General Secretary, 17th CPC, Central Committee"
HU,2007—2012,"Member, 17th CPC, Central Committee, Politburo"
HU,2005—2013,"Chairman, Central Military Commission of the PRC"
HU,2004—2007,"Chairman, 16th CPC, Central Committee, Central Military Commission (Jiang Zemin resigned as chairman September 2004)"
HU,2003—2013,"President, People's Government People's Republic of China"
HU,2002—2007,"Member, 16th CPC, Central Committee"
HU,2002—2007,"General Secretary, 16th CPC, Central Committee"
HU,2002—2004,"Vice-Chairman, 16th CPC, Central Committee, Central Military Commission"
HU,2002—2005,"Vice-Chairman, Central Military Commission of the PRC"
HU,2002—2007,"Member, 16th CPC, Central Committee, Politburo"
HU,2002—2007,"Member, 16th CPC, Central Committee, Politburo, Standing Committee"
HU,1999—2002,"Vice-Chairman, Central Military Commission of the PRC"
HU,1998—2003,"Vice-President, People's Government People's Republic of China"
HU,1997—2002,"Member, 15th CPC, Central Committee"
HU,1997—2002,"Member, 15th CPC, Central Committee, Politburo"
HU,1997—2002,"Member, 15th CPC, Central Committee, Politburo, Standing Committee"
HU,1997—2002,"Vice-Chairman, 15th CPC, Central Committee, Central Military Commission"
HU,1997—2002,"Member, 15th CPC, Central Committee, Politburo, Secretariat"
HU,1993—2002,"President, CPC, Central Committee, Central Party School"
HU,1992—1997,"Member, 14th CPC, Central Committee, Politburo, Secretariat"
HU,1992—1997,"Member, 14th CPC, Central Committee, Politburo"
HU,1992—1997,"Member, 14th CPC, Central Committee"
HU,1992—1997,"Member, 14th CPC, Central Committee, Politburo, Standing Committee"
HU,1988—1992,"Secretary, CPC, Provincial Committee Tibet Autonomous Region"
HU,1987—1992,"Member, 13th CPC, Central Committee"
HU,1985—1988,"Secretary, CPC, Provincial Committee Guizhou Province"
HU,1985—1988,"First Secretary, PLA, Regions, Chengdu Military Region, Guizhou Military District CPC, Party CommitteeGuizhou Province"
HU,1984—1985,"First Secretary, CYLC, Central Committee, Secretariat"
HU,1982—1984,"Secretary, CYLC, Central Committee, Secretariat"
HU,1982—1982,"Secretary, CYLC, Provincial-Level Gansu Province"
